url	city	state	add	sightings	lat	lon
http://www.ghostsofamerica.com/4/Kentucky_Crittenden_ghost_sightings.html	CRITTENDEN	KY	CRITTENDEN, KY	2	38.782844	-84.605221
http://www.ghostsofamerica.com/4/Kentucky_Cumberland_ghost_sightings.html	CUMBERLAND	KY	CUMBERLAND, KY	2	36.978148	-82.988495
http://www.ghostsofamerica.com/4/Kentucky_Cynthiana_ghost_sightings.html	CYNTHIANA	KY	CYNTHIANA, KY	5	38.390353	-84.294101
http://www.ghostsofamerica.com/4/Kentucky_Danville_ghost_sightings.html	DANVILLE	KY	DANVILLE, KY	5	37.645633	-84.77217
http://www.ghostsofamerica.com/4/Kentucky_Dawson_Springs_ghost_sightings.html	DAWSON SPRINGS	KY	DAWSON SPRINGS, KY	3	37.167268	-87.692507
http://www.ghostsofamerica.com/4/Kentucky_Dayton_ghost_sightings.html	DAYTON	KY	DAYTON, KY	2	39.112838	-84.47272
http://www.ghostsofamerica.com/4/Kentucky_Dexter_ghost_sightings.html	DEXTER	KY	DEXTER, KY	1	36.741682	-88.295514
http://www.ghostsofamerica.com/4/Kentucky_Dry_Ridge_ghost_sightings.html	DRY RIDGE	KY	DRY RIDGE, KY	2	38.682012	-84.589943
http://www.ghostsofamerica.com/4/Kentucky_Dwale_ghost_sightings.html	DWALE	KY	DWALE, KY	2	37.623154	-82.723769
http://www.ghostsofamerica.com/4/Kentucky_Earlington_ghost_sightings.html	EARLINGTON	KY	EARLINGTON, KY	1	37.274212	-87.511944
http://www.ghostsofamerica.com/4/Kentucky_East_Bernstadt_ghost_sightings.html	EAST BERNSTADT	KY	EAST BERNSTADT, KY	1	37.189532	-84.11771
http://www.ghostsofamerica.com/4/Kentucky_Eastern_ghost_sightings.html	EASTERN	KY	EASTERN, KY	3	37.516476	-82.806713
http://www.ghostsofamerica.com/4/Kentucky_Eastview_ghost_sightings.html	EASTVIEW	KY	EASTVIEW, KY	1	37.588949	-86.0558
http://www.ghostsofamerica.com/4/Kentucky_Eddyville_ghost_sightings.html	EDDYVILLE	KY	EDDYVILLE, KY	2	37.094497	-88.080301
http://www.ghostsofamerica.com/4/Kentucky_Edmonton_ghost_sightings.html	EDMONTON	KY	EDMONTON, KY	2	36.980056	-85.612191
http://www.ghostsofamerica.com/4/Kentucky_Ekron_ghost_sightings.html	EKRON	KY	EKRON, KY	1	37.929235	-86.179414
http://www.ghostsofamerica.com/4/Kentucky_Elizabethtown_ghost_sightings.html	ELIZABETHTOWN	KY	ELIZABETHTOWN, KY	2	37.703065	-85.864941
http://www.ghostsofamerica.com/4/Kentucky_Erlanger_ghost_sightings.html	ERLANGER	KY	ERLANGER, KY	1	39.016728	-84.600777
http://www.ghostsofamerica.com/4/Kentucky_Eubank_ghost_sightings.html	EUBANK	KY	EUBANK, KY	2	37.278411	-84.658555
