FACILITY NAME,LOCATION ADDRESS,CITY NAME,COUNTY NAME,STATE,ZIP CODE,EPA REGION CODE,LATITUDE,LONGITUDE
USDA FS BOISE NF:URANIUM MILL TAILINGS,MP 20N CLEAR CRK RD #582,LOWMAN,BOISE,ID,83637,10,44.08,-115.6
USDA FS FREMONT NATIONAL FOREST/WHITE KING AND LUCKY LASS URANIUM MINES,524 NORTH G STREET,LAKEVIEW,LAKE,OR,97630,10,42.33611,-120.54166
USDOE KNOLLS ATOMIC POWER LABORATORY,350 ATOMIC PROJECT ROAD,WEST MILTON,SARATOGA,NY,12020,2,43.040652,-73.954655
USDOE LAWRENCE LIVERMORE NATIONAL LABORATORY,7000 EAST AVENUE,LIVERMORE,ALAMEDA,CA,94550,9,37.68806,-121.7047
USDOE SANDIA NATIONAL LABORATORIES,7011 EAST AVENUE,LIVERMORE,ALAMEDA,CA,94550,9,37.673289,-121.708865
USEPA GLEN RIDGE RADIUM SUPER FUND,MIDLAND AND CARTARET STREETS,GLEN RIDGE,ESSEX,NJ,7028,2,40.78818,-74.2125
W R GRACE & COMPANY,HIGHWAY AA BOX 1406,JOPLIN,JASPER,MO,64802,7,37.095616,-94.494669
"W.R. GRACE & CO., INC./WAYNE INTERIM STORAGE SITE (USDOE)",868 BLACK OAK RIDGE ROAD,WAYNE,PASSAIC,NJ,7470,2,40.96901,-74.27032
WASTE ISOLATION PILOT PLANT,"NM ROUTE 128, JAL HGWY, 30 MILES EAST OF CARLSBAD",LOVING,EDDY,NM,88256,6,32.36,-103.79
WELSBACH & GENERAL GAS MANTLE (CAMDEN RADIATION),5 AREAS IN CAMDEN AND GLOUCESTER CITY,GLOUCESTER CITY,CAMDEN,NJ,8030,2,39.91972,-75.12194
WHITE SANDS MISSILE RANGE,US ARMY COMMISSARY BUILDING 1510,LAS CRUCES,DONA ANA,NM,88002,6,32.381028,-106.479944
