city,state,add,city_count,lat,long,the_geom,cartodb_id,created_at,updated_at
Morehead,KY,"Morehead, KY",1,38.1797,-83.4421,0101000020E6100000F163CC5D4BDC54C0AC8BDB6800174340,90,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Morganfield,KY,"Morganfield, KY",1,37.716268,-88.0132,0101000020E6100000A913D044D80056C0EE9579ABAEDB4240,91,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Mount Sterling,KY,"Mount Sterling, KY",2,38.068748,-83.925966,0101000020E61000004FCDE50643FB54C02CD505BCCC084340,92,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Mount Vernon,KY,"Mount Vernon, KY",1,37.915322,-87.873359,0101000020E6100000B4AA251DE5F755C098A7734529F54240,93,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Mount Washington,KY,"Mount Washington, KY",1,38.048158,-85.544915,0101000020E610000064062AE3DF6255C03885950A2A064340,94,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Munfordville,KY,"Munfordville, KY",1,37.291553,-85.868589,0101000020E6100000952A51F6967755C07D06D49B51A54240,95,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Murray,KY,"Murray, KY",1,36.616369,-88.298294,0101000020E6100000F4A5B73F171356C055A2EC2DE54E4240,96,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Nancy,KY,"Nancy, KY",1,37.081892,-84.762057,0101000020E6100000062CB98AC53055C0EBE6E26F7B8A4240,97,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Neon,KY,"Neon, KY",1,37.192588,-82.713249,0101000020E6100000E73922DFA5AD54C010CD3CB9A6984240,98,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Newport,KY,"Newport, KY",4,39.090068,-84.500222,0101000020E610000057AF22A3032055C044352559878B4340,99,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Nicholasville,KY,"Nicholasville, KY",1,37.881267,-84.573559,0101000020E6100000E5D4CE30B52455C0A305685BCDF04240,100,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Owensboro,KY,"Owensboro, KY",2,37.773688,-87.132701,0101000020E610000060C9552C7EC855C061A7583508E34240,101,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Owenton,KY,"Owenton, KY",1,38.549585,-84.842463,0101000020E6100000C345EEE9EA3555C0A3AF20CD58464340,102,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Owingsville,KY,"Owingsville, KY",1,38.143673,-83.770359,0101000020E610000079CBD58F4DF154C0BB287AE063124340,103,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Paducah,KY,"Paducah, KY",2,37.084154,-88.593327,0101000020E61000005D35CF11F92556C0EEE9EA8EC58A4240,104,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Paintsville,KY,"Paintsville, KY",1,37.812747,-82.794801,0101000020E610000000750305DEB254C00876FC1708E84240,105,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Pewee Valley,KY,"Pewee Valley, KY",1,38.31063,-85.488054,0101000020E6100000A62BD8463C5F55C008944DB9C2274340,107,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Pikeville,KY,"Pikeville, KY",1,37.483729,-82.519645,0101000020E6100000EA211ADD41A154C03A90F5D4EABD4240,108,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Pineville,KY,"Pineville, KY",1,36.763053,-83.697772,0101000020E61000002104E44BA8EC54C0AE0E80B8AB614240,109,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Powderly,KY,"Powderly, KY",1,37.224893,-87.146293,0101000020E61000008FA850DD5CC955C0B70C384BC99C4240,110,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Prestonsburg,KY,"Prestonsburg, KY",1,37.666653,-82.771092,0101000020E6100000438D429259B154C0E063B0E254D54240,111,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
